word,meaning,level,frequency
dental,牙齿的， 牙科的,CET4,
deny,否定， 否认； 拒绝…的要求,CET4,
depart,离开， 起程， 出发,CET4,
department,"n.部,司,局,处,系",CET4,
departure,离开， 起程， 出发； 背离， 违背,CET4,
depend,vi.依靠，依赖；相信,CET4,
dependent,依靠的， 依赖的； 取决于…的,CET4,
deposit,使沉淀；存放，储蓄；定金， 押金； 存款； 矿藏,CET4,
depress,使沮丧； 使不景气； 削弱， 抑制,CET4,
depression,抑郁， 沮丧； 不景气， 萧条； 洼地， 凹陷,CET4,
depth,n.深度；深厚；深处,CET4,
deputy,副职， 副手； 代表， 代理人,CET4,
derive,取得； 起源,CET4,
descend,下来， 下降； 下倾,CET4,
describe,形容； 描写； 画出,CET4,
description,n.描写，形容；种类,CET4,
desert,n.沙漠 vt.离弃；擅离,CET4,
deserve,应受， 值得,CET4,
design,设计；预定，指定；设计， 构想； 图样； 企图,CET4,
desirable,值得向往的， 令人满意的,CET4,
desire,渴望；要求；愿望； 欲望,CET4,
desk,n.书桌，办公桌,CET4,
despair,绝望；绝望，感到无望,CET4,
desperate,拼死的， 不顾一切的； 绝望的； 极需要的,CET4,
despite,不管， 不顾,CET4,
dessert,甜食， 点心,CET4,
destination,目的地， 终点， 目标,CET4,
destroy,vt.破坏；消灭；打破,CET4,
destruction,破坏， 毁灭， 消灭,CET4,
detail,细节，枝节；零件；详细说明,CET4,
detect,察觉， 发觉； 侦查出,CET4,
detection,察觉， 发觉； 侦查， 探测,CET4,
detective,侦探， 私人侦探,CET4,
determination,决心， 决定； 确定,CET4,
determine,决意；决定；查明；使下决心,CET4,
develop,vt.发展；形成；开发,CET4,
development,n.发展;开发；生长,CET4,
developmental,发展的,CET4,
device,器械， 装置， 设备； 手段， 策略,CET4,
devil,魔鬼， 恶魔； 家伙， 人,CET4,
devise,设计， 发明,CET4,
devote,将…奉献给； 把…专用,CET4,
devotion,献身， 奉献； 忠实； 热爱； 虔诚,CET4,
dew,n.露，露水,CET4,
diagnose,诊断,CET4,
diagram,图解， 图表， 简图,CET4,
dial,n.钟面；拨号盘 vt.拨,CET4,
dialect,方言， 土语， 地方话,CET4,
dialog,n.对话，对白,CET4,
diameter,直径,CET4,
diamond,n.金钢石，钻石；菱形,CET4,
diary,n.日记，日记簿,CET4,
dictate,口授； 命令， 规定， 要求；命令， 指挥,CET4,
dictation,口授； 听写,CET4,
dictionary,n.词典，字典,CET4,
die,vi.死，死亡；灭亡,CET4,
differ,不同， 相异； 发生分歧,CET4,
difference,n.差别；差；分歧,CET4,
different,a.差异的；各种的,CET4,
difficult,a.困难的；难对付的,CET4,
difficulty,a.困难；难事；困境,CET4,
dig,vt.掘，挖；采掘,CET4,
digest,消化； 领会；文摘； 摘要,CET4,
digital,数字的， 数位的,CET4,
dim,昏暗的；朦胧的；模糊不清的；变暗淡,CET4,
dimension,尺寸， 尺度； 方面， 特点； 面积， 规模,CET4,
dinner,n.正餐，主餐；宴会,CET4,
dip,蘸，浸；游一会儿泳,CET4,
diplomatic,外交的， 从事外交的； 策略的， 有手腕的,CET4,
direct,a.直接的；直率的,CET4,
direction,n.方向，方位；指导,CET4,
directly,直接地； 正好地， 截然； 立即,CET4,
director,n.指导者；理事；导演,CET4,
dirt,灰尘， 土； 污物， 污垢,CET4,
dirty,a.脏的；下流的,CET4,
disadvantage,n.不利(地位),CET4,
disagree,vi.有分歧；不一致,CET4,
disappear,不见， 失踪， 消失,CET4,
disappoint,vt.使失望，使受挫折,CET4,
disaster,灾难， 灾祸， 天灾； 彻底的失败,CET4,
discard,丢弃， 抛弃， 遗弃,CET4,
discharge,释放， 排出； 卸货；释放， 放电,CET4,
discipline,纪律；训练；惩罚；学科；训练； 惩罚， 处罚,CET4,
disclose,揭示； 透露,CET4,
discount,折扣；将…打折扣； 不信； 漠视， 低估,CET4,
discourage,使泄气， 使灰心； 阻止， 劝阻,CET4,
discover,vt.发现；暴露，显示,CET4,
discovery,n.发现；被发现的事物,CET4,
discrimination,区别， 辨别； 识别力； 差别对待， 歧视,CET4,
discuss,vt.讨论，谈论；论述,CET4,
discussion,n.讨论，谈论；论述,CET4,
disease,病， 疾病； 不健全； 弊端,CET4,
disguise,假扮，化装，伪装；掩盖，掩饰；用来伪装的东西； 伪装， 掩饰,CET4,
disgust,厌恶， 憎恶,CET4,
dish,n.碟，盘子；菜肴,CET4,
dishonor,n.不光彩；丢脸的人,CET4,
disk,n.圆盘，唱片；磁盘,CET4,
dislike,vt.&n.不喜爱，厌恶,CET4,
dismiss,不再考虑； 解雇， 解散； 驳回,CET4,
disorder,混乱， 杂乱， 骚乱,CET4,
display,陈列， 展览， 显示,CET4,
displease,vt.使不愉快，使生气,CET4,
disposal,丢掉， 销毁； 处理； 排列， 布置,CET4,
dispose,处理， 解决； 使倾向于,CET4,
dispute,争论， 争执； 对…表示异议；争论,CET4,
dissatisfy,vi.使不满，使不平,CET4,
dissolve,溶解； 解散； 消失， 减弱； 结束,CET4,
distance,n.距离，间距；远处,CET4,
distant,a.在远处的，疏远的,CET4,
distinct,与其他不同的； 清楚的， 明显的,CET4,
distinction,差别， 不同， 区分,CET4,
distinguish,区别， 辨别， 识别； 使显出特色， 使杰出,CET4,
distraction,分心的事； 心烦意乱； 精神错乱； 娱乐， 消遣,CET4,
distress,忧虑， 痛苦， 悲伤； 不幸,CET4,
distribute,分发， 分送； 分布,CET4,
distribution,分发， 分配； 分布,CET4,
district,n.区；地区，区域,CET4,
disturb,打扰， 扰乱； 弄乱； 使不安,CET4,
ditch,沟， 沟渠， 渠道,CET4,
dive,跳水； 潜水；  俯冲,CET4,
diverse,不一样的， 相异的； 多种多样的,CET4,
diversity,多样性； 差异； 不同点,CET4,
divide,分，分开；分配，分享；除；产生分歧；分歧； 分界线， 分水岭,CET4,
division,分， 分配； 除法； 分歧； 分裂,CET4,
divorce,离婚； 分离， 脱离；离婚，离异,CET4,
do,aux.v. vt.做，干，办,CET4,
doctor,n.医生，医师；博士,CET4,
doctoral,博士的,CET4,
document,公文，文件；证件；用文件等证明,CET4,
dog,n.狗，犬，犬科动物,CET4,
dollar,n.元(货币单位),CET4,
domestic,本国的； 家庭的； 驯养的,CET4,
dominant,占优势的， 支配的， 统治的； 居高临下的， 高耸的,CET4,
dominate,拥有优势；在…中占首要地位；支配，统治，控制；耸立于，俯视,CET4,
donation,捐款， 捐赠物； 捐赠， 赠送,CET4,
donkey,驴； 笨蛋,CET4,
door,n.门，通道；一家,CET4,
dorm,宿舍,CET4,
dormitory,集体寝室， 宿舍,CET4,
dose,剂量， 用量， 一剂,CET4,
dot,点，圆点；打点于,CET4,
double,a.两倍的；双的,CET4,
doubt,n.怀疑；疑虑 vt.怀疑,CET4,
doubtful,难以预测的； 怀疑的,CET4,
down,ad.向下，在下面,CET4,
downstairs,ad.在楼下 a.楼下的,CET4,
downward,向下地；向下的,CET4,
dozen,n.一打，十二个,CET4,
draft,草稿；汇票；征兵；通风；起草； 征募,CET4,
drag,拖，拉；迫使，硬拉；拖着脚步走；累赘； 一吸， 一抽,CET4,
dragon,龙,CET4,
drain,排去，放水；耗竭； 排水沟， 排水管,CET4,
drama,戏剧， 剧本； 戏剧性事件,CET4,
dramatic,引人注目的， 激动人心的； 突然的,CET4,
draught,穿堂风，冷风；〔啤酒〕桶装的，散装的,CET4,
draw,vt.画，划；拖；拨出,CET4,
drawer,抽屉,CET4,
drawing,n.图画，素描；绘图,CET4,
dream,n.梦；梦想 vi.做梦,CET4,
dress,n.女服，童装；服装,CET4,
drift,漂流，漂泊；漂流； 大意， 主旨； 趋势,CET4,
drill,钻， 打； 训练；钻头；操练，训练,CET4,
drink,vt.饮 vi.喝 n.饮料,CET4,
drip,滴下，漏水；水滴； 滴水声,CET4,
drive,vt.驾驶；打入；驱,CET4,
driver,n.驾驶员，司机,CET4,
drop,vt.使落下；降低,CET4,
drown,vi.淹死，溺死,CET4,
drug,n.药，药物，药材,CET4,
drum,有节奏地敲击；鼓，鼓状物；圆桶,CET4,
drunk,醉的； 陶醉的,CET4,
dry,a.干的，干燥的,CET4,
duck,n.鸭，雌鸭；鸭肉,CET4,
due,a.预期的；应给的,CET4,
dull,乏味的， 单调的； 晦暗的， 阴沉的； 低沉的； 笨的； 钝的,CET4,
dumb,哑的； 无言的； 说不出话的,CET4,
dump,倾卸，倾倒；倾销；垃圾场,CET4,
durable,耐久的， 耐用的,CET4,
duration,持续， 持久,CET4,
during,prep.在…期间,CET4,
dusk,薄暮， 黄昏； 幽暗,CET4,
dust,n.尘土，灰尘,CET4,
duty,n.职责；责任；税,CET4,
dwelling,n.住处，寓所,CET4,
dye,染；染料； 染色,CET4,
dying,a.垂死的；临终的,CET4,
dynamic,有活力的；动力的；不断变化的；动力； 动力学,CET4,
each,pron.各，各自 a.各,CET4,
eager,a.渴望的，热切的,CET4,
eagle,鹰,CET4,
ear,n.耳朵；听力，听觉,CET4,
early,ad.早 a.早的，早期的,CET4,
earn,vt.赚得，挣得；获得,CET4,
earnest,认真的， 诚恳的,CET4,
earth,n.地球；陆地，地面,CET4,
earthquake,地震， 大震荡,CET4,
ease,容易；舒适；缓和,CET4,
easily,ad.容易地；舒适的,CET4,
east,n.东；东部 ad.在东方,CET4,
eastern,a.东方的；朝东的,CET4,
easy,a.容易的；安逸的,CET4,
eat,vt.吃，喝 vi.吃饭,CET4,
echo,重复， 模仿； 发出回声；回声；反响，共鸣,CET4,
economic,经济的，经济学的；经济学； 经济状况,CET4,
economical,节约的； 经济学的,CET4,
economy,经济； 节约， 节省,CET4,
edge,n.边缘，边；刀口,CET4,
edition,版， 版本， 版次,CET4,
editor,编辑， 编者， 校订者,CET4,
editorial,编辑的，主笔的，编者的；社论的，社论式的；社论， 重要评论,CET4,
educate,教育， 培养， 训练,CET4,
education,n.教育;训导;教育学,CET4,
effect,n.结果；效果，效力,CET4,
effective,有效的； 有影响的,CET4,
efficiency,效率； 功效， 效能,CET4,
efficient,效率高的； 有能力的,CET4,
effort,努力， 努力的成果,CET4,
egg,n.蛋，鸡蛋，卵,CET4,
eight,num.八，八个，第八,CET4,
eighteen,num.十八，十八个,CET4,
eighth,num.第八 n.八分之一,CET4,
eighty,num.八十，八十个,CET4,
either,pron.(两者)任何一个,CET4,
elaborate,复杂的； 精心制作的；详述， 详细制订,CET4,
elastic,有弹性的， 灵活的；松紧带,CET4,
elbow,肘，肘部；用肘部， 用肘挤,CET4,
elder,a.年龄较大的 n.长者,CET4,
elderly,较老的，年长的；到了晚年的人， 老年人,CET4,
elect,选举， 推选； 选择,CET4,
election,选举； 选择权； 当选,CET4,
elective,选举的，有选举权的；可任意选择的；选修课程,CET4,
electric,电的， 电动的,CET4,
electrical,电的， 电气科学的,CET4,
electricity,电,CET4,
electron,电子,CET4,
electronic,电子的；电子学； 电子设备,CET4,
electronics,n.电子学,CET4,
elegant,优美的， 文雅的， 讲究的； 简练的， 简洁的,CET4,
element,成分， 要素， 元素； 基础， 纲要； 自然力,CET4,
elementary,基本的， 初级的,CET4,
elephant,n.象,CET4,
elevator,电梯， 升降机,CET4,
eleven,num.十一，十一个,CET4,
eleventh,num.第十一(个),CET4,
eliminate,消灭， 消除， 排除； 淘汰,CET4,
elimination,n.消灭，排除，消除,CET4,
else,ad.其它，另外 a.别的,CET4,
elsewhere,在别处， 向别处,CET4,
embarrass,使窘迫， 使为难,CET4,
embassy,大使馆； 大使馆全体成员,CET4,
embrace,拥抱，怀抱；拥抱； 包括； 包围,CET4,
emerge,出现， 涌现， 冒出,CET4,
emergency,紧急情况， 突然事件,CET4,
emit,散发； 发射； 发表,CET4,
emotion,情感， 感情； 激动,CET4,
emotional,感情的， 情绪的,CET4,
emperor,皇帝,CET4,
emphasis,强调； 重点， 重要性,CET4,
emphasize,强调， 着重,CET4,
empire,帝国,CET4,
employ,vi.雇用；用；使忙于,CET4,
employee,受雇者， 雇员， 雇工,CET4,
employer,雇佣者， 雇主,CET4,
employment,工作； 雇用； 使用,CET4,
empower,授权于； 使能够,CET4,
empty,a.空的；空洞的,CET4,
enable,使能够， 使可能,CET4,
enclose,围住， 圈起； 附上； 把…装入信封,CET4,
encounter,遭遇，遇到；遭遇,CET4,
encourage,鼓励， 怂恿； 促进， 助长， 激发,CET4,
end,n.末端；目标 vt.结束,CET4,
ending,结尾， 结局； 死亡,CET4,
endless,无止境的,CET4,
endure,忍受， 容忍； 持久， 持续,CET4,
enemy,n.敌人；仇敌；敌兵,CET4,
energy,n.活力；精力；能,CET4,
enforce,实施， 执行； 强制， 强迫， 迫使,CET4,
engage,使从事； 聘用； 吸引； 占用； 使订婚,CET4,
engine,引擎， 发动机； 机车,CET4,
engineer,n.工程师，技师,CET4,
engineering,工程， 工程学,CET4,
england,n.英格兰；英国,CET4,
english,n.英语 a.英国人的,CET4,
englishman,n.英国男子,CET4,
enhance,提高， 增加， 加强,CET4,
enjoy,vt.享受；欣赏，喜爱,CET4,
enlarge,扩大， 扩展， 放大,CET4,
enormous,巨大的， 庞大的,CET4,
enough,a.足够的 ad.足够地,CET4,
enquire,询问,CET4,
enquiry,询问,CET4,
enroll,入学，加入；招收， 吸收,CET4,
ensure,保证； 保护,CET4,
enter,vt.走进，进入；参加,CET4,
entertain,使欢乐； 招待， 请客,CET4,
entertainment,娱乐， 文娱节目， 表演会； 招待， 款待， 请客,CET4,
enthusiasm,热情， 热心， 热忱； 巨大兴趣,CET4,
entire,全部的， 整个的,CET4,
entitle,给…权利； 给题名,CET4,
entrance,n.入口，门口；进入,CET4,
entry,入口处； 登记； 进入； 参赛者名单； 条目,CET4,
envelope,n.信封；封套；封皮,CET4,
environment,环境， 外界； 围绕,CET4,
envy,妒忌，羡慕；妒忌的对象；妒忌， 羡慕,CET4,
epidemic,流行性的；传染的；流行病； 传播,CET4,
episode,一个事件； 插曲， 片段； 连续剧的一集,CET4,
equal,a.相等的；平等的,CET4,
equality,等同， 平等， 相等,CET4,
equation,方程， 等式,CET4,
equip,装备， 配备； 使有准备,CET4,
equipment,n.装备，设备，配备,CET4,
equivalent,相等的，等量的；相等物， 等价物,CET4,
era,时代， 年代， 纪元,CET4,
erect,竖直的， 垂直的；建造；使竖立,CET4,
erroneous,错误的， 不正确的,CET4,
error,错误， 谬误， 差错,CET4,
escape,vi.逃跑；逸出 n.逃跑,CET4,
especially,ad.特别，尤其，格外,CET4,
essay,短文， 散文， 小品文,CET4,
essential,必要的；本质的；要素； 必需品,CET4,
establish,建立， 设立； 确立； 证实,CET4,
establishment,建立， 设立， 确立； 企业； 当权人物,CET4,
estate,土地， 住宅区， 地产； 财产， 遗产； 庄园， 种植园,CET4,
estimate,估计； 评价；估计； 评价， 看法,CET4,
europe,n.欧洲,CET4,
european,a.欧洲的 n.欧洲人,CET4,
evaluate,评价； 估…的价,CET4,
evaluation,评价； 估计,CET4,
evaporate,vt.使蒸发 vi.蒸发,CET4,
eve,前夜， 前夕， 前一刻,CET4,
even,ad.甚至；甚至更，还；a.均匀的；平的,CET4,
evening,n.傍晚，黄昏，晚上,CET4,
event,事件， 大事， 事变,CET4,
eventually,ad.终于；最后,CET4,
ever,ad.在任何时候；曾经,CET4,
every,a.每一的；每隔…的,CET4,
everybody,pron.每人，人人,CET4,
everyday,a.每天的，日常的,CET4,
everyone,pron.每人，人人,CET4,
everything,pron.每件事，事事,CET4,
everywhere,ad.到处，处处,CET4,
evidence,根据， 证据； 证人,CET4,
evident,明显的， 明白的,CET4,
evidently,明显地， 显然,CET4,
evil,坏的；邪恶，祸害,CET4,
evolution,进化， 演化， 发展,CET4,
evolve,使进化， 使发展,CET4,
exact,确切的，精确的；强求， 索取,CET4,
exactly,ad.确切地；恰恰正是,CET4,
exaggerate,夸大， 夸张,CET4,
exam,n.考试；检查，细查,CET4,
examination,n.考试；检/细查,CET4,
examine,vt.检查，仔细观察,CET4,
example,n.例子，实例；模范,CET4,
exceed,超过， 胜过， 超出,CET4,
exceedingly,极端地， 非常,CET4,
excellent,a.优秀的，杰出的,CET4,
except,prep.除…之外,CET4,
exception,例外， 除外,CET4,
excess,过量的， 额外的；超越； 过量， 过度,CET4,
excessive,过多的， 极度的,CET4,
exchange,交换； 交流； 兑换,CET4,
excite,vt.使激动；引起,CET4,
excitement,刺激， 激动， 兴奋； 令人兴奋的事， 刺激的因素,CET4,
exciting,a.令人兴奋的,CET4,
exclaim,呼喊， 惊叫,CET4,
exclude,把…排除在外,CET4,
exclusive,奢华的，高级的；独有的，独享的；排斥的，排他的；不包括…的，不把…计算在内的；独家新闻,CET4,
exclusively,ad.专门地,CET4,
excursion,远足， 短途旅行,CET4,
excuse,vt.原谅；免除 n.借口,CET4,
execute,将…处死； 实施， 执行,CET4,
executive,执行的；执行者,CET4,
exercise,n.锻炼，训练 vi.练习,CET4,
exert,尽； 运用,CET4,
exhaust,使筋疲力尽；用尽；详尽论述；排气装置； 废气,CET4,
exhibit,显示；陈列，展览；展览品,CET4,
exhibition,n.展览，陈列；展览会,CET4,
exist,vi.存在；生存，生活,CET4,
existence,存在， 实在， 生存,CET4,
exit,n.出口；退场 vi.退出,CET4,
expand,扩大， 使膨胀,CET4,
expansion,扩大， 扩充， 扩张， 膨胀,CET4,
expect,vt.预料，预期；等待,CET4,
expectation,期待， 期望， 预期； 前程， 成功的前景,CET4,
expense,花费， 消费； 费用， 开支； 业务费用,CET4,
expensive,a.昂贵的，花钱多的,CET4,
experience,n.经验，感受；经历,CET4,
experiment,n.实验；试验,CET4,
experimental,实验的， 试验的,CET4,
expert,熟练的；专家,CET4,
explain,vt.解释；为…辩解,CET4,
explanation,"n.解释,说明;辩解",CET4,
explode,爆炸； 激增； 发怒；使爆炸,CET4,
exploit,剥削； 利用； 开拓；业绩， 功绩,CET4,
explore,探险， 探索； 仔细查阅， 探究,CET4,
explosion,爆炸， 爆发， 炸裂； 激增， 扩大,CET4,
explosive,爆炸的； 极易引起争论的；炸药,CET4,
export,输出， 出口；输出， 出口； 输出品， 出口额,CET4,
expose,使接触； 揭露,CET4,
exposure,暴露， 揭露； 曝光,CET4,
express,vt.表示 n.快车，快递,CET4,
expression,词语； 表达； 表情,CET4,
extend,延长， 扩大； 提供， 给予； 伸展， 达到,CET4,
extension,延长部分， 伸展； 电话分机， 分机号码,CET4,
extensive,广阔的， 广泛的,CET4,
extent,广度； 范围； 程度,CET4,
exterior,外部的；对外的；外部， 外表,CET4,
external,外部的， 外面的,CET4,
extra,特别地；额外的；特别的；额外的事物， 额外费用,CET4,
extraordinary,非同寻常的， 特别的,CET4,
extreme,极度的；末端的；极端， 过分,CET4,
extremely,ad.极端，极其，非常,CET4,
eye,n.眼睛；眼力；鉴赏力,CET4,
eyesight,视力， 目力,CET4,
fable,n.寓言；虚构的故事,CET4,
fabric,织物， 纺织品； 结构,CET4,
face,n.脸；表面；外表,CET4,
facility,设备； 容易； 场所,CET4,
fact,n.事实；实际，实情,CET4,
factor,因素； 因子； 系数,CET4,
factory,n.工厂，制造厂,CET4,
faculty,才能， 能力； 系， 科； 全体教员,CET4,
fade,褪色；逐渐消失；凋谢；使褪色,CET4,
fahrenheit,n.华氏温度计,CET4,
fail,vi.失败；失灵；不能,CET4,
failure,失败， 失败的人； 失灵， 故障； 不履行,CET4,
faint,不清楚的，模糊的；晕倒，昏厥；昏厥,CET4,
fair,a.公平的；相当的；n.定期集市；博览会,CET4,
fairly,相当， 尚可， 还； 公平地,CET4,
fairy,小精灵， 小仙子,CET4,
faith,信任； 信心； 信仰， 信条； 忠诚,CET4,
faithful,忠诚的； 如实的； 尽职的,CET4,
fall,vi.落下；跌倒；陷落,CET4,
false,a.不真实的；伪造的,CET4,
fame,名声， 名望,CET4,
familiar,a.熟悉的；冒昧的,CET4,
family,n.家，家庭；家族,CET4,
famine,饥荒； 严重的缺乏,CET4,
famous,a.著名的，出名的,CET4,
fan,n.(运动等)狂热爱好者；n.扇子，风扇 vt.扇,CET4,
fancy,昂贵的； 别致的；想象力，设想；爱好；喜欢；想象，猜想,CET4,
fantastic,极好的， 极出色的， 了不起的； 极大的； 难以相信的； 异想天开的， 不实际的； 奇异的， 古怪的,CET4,
fantasy,想象， 幻想； 想象的产物,CET4,
far,a.远的 ad.远，遥远,CET4,
fare,进展；车费，船费，票价,CET4,
farewell,告别， 欢送会,CET4,
farm,n.农场，农庄；饲养场,CET4,
farmer,n.农民，农夫；农场主,CET4,
farther,ad.更远地 a.更远的,CET4,
fascinate,有吸引力， 迷人；迷住，强烈吸引,CET4,
fascinating,迷人的， 有极大吸引力的,CET4,
fashion,样子， 方式； 时尚； 流行款式,CET4,
fashionable,流行的， 时髦的,CET4,
fast,a.快的；偏快的 ad.快,CET4,
fasten,扎牢， 扣住,CET4,
fatal,致命的， 命运的； 重大的， 决定性的,CET4,
fate,命运， 天数,CET4,
father,n.父亲；神父；创始人,CET4,
father-in-law,n.岳父；公公,CET4,
fatigue,疲劳；疲劳，劳累,CET4,
fault,n.缺点；过失；故障,CET4,
faulty,有错误的， 有缺点的,CET4,
favour,好感；赞同；恩惠；赞同； 喜爱， 偏爱； 有利于,CET4,
favourable,有利的， 赞成的； 顺利的,CET4,
favourite,特别受喜爱的；特别受喜爱的人,CET4,
fear,n.害怕；担心 vt.害怕,CET4,
fearful,害怕的， 可怕的； 不安的， 忧虑的,CET4,
feasible,可行的， 可能的,CET4,
feather,羽毛， 翎毛,CET4,
feature,起重要作用；特征，特色；面貌；特写，专题节目；故事片；突出；由…主演,CET4,
february,n.二月,CET4,
federal,联邦的， 联盟的,CET4,
fee,费； 酬金， 赏金,CET4,
feed,vt.喂(养) vi.吃饲料,CET4,
feedback,回授， 反馈， 反应,CET4,
feel,vi.有知觉 vt.触，摸,CET4,
feeling,n.感情；感觉，知觉,CET4,
fellow,n.人，家伙；伙伴,CET4,
female,雌的； 女的；雌性动物；女子,CET4,
fence,n.栅栏,CET4,
fertile,肥沃的； 多产的； 丰富的,CET4,
fertilizer,肥料,CET4,
festival,节日； 音乐节,CET4,
fetch,vt.拿来；请来，接去,CET4,
fever,n.发热，发烧；狂热,CET4,
few,a.很少的；少数的,CET4,
fibre,纤维， 纤维质,CET4,
fiction,小说； 虚构， 杜撰,CET4,
field,n.田野；田；运动场,CET4,
fierce,凶猛的； 狂热的,CET4,
fifteen,num.十五；十五个,CET4,
fifth,num.第五 n.五分之一,CET4,
fifty,num.五十，五十个,CET4,
fight,vi.打(仗)；斗争,CET4,
figure,出现； 合乎情理； 计算； 认为， 猜想；数字；人物；算术；体形，体态；轮廓；画像，塑像；图，图形,CET4,
file,n.档案 vt.把…归档,CET4,
fill,vt.装满，盛满；占满,CET4,
film,n.影片；胶卷；薄层,CET4,
filter,过滤，透；走漏；滤纸， 过滤嘴,CET4,
final,a.最后的；决定性的,CET4,
finally,最后； 决定性地,CET4,
finance,筹措资金；财政，金融；财源，财务情况,CET4,
financial,财政的， 金融的,CET4,
find,vt.找到；发觉；找出,CET4,
finding,发现； 调查的结果； 裁决,CET4,
fine,a.美好的；纤细的；n.罚金，罚款,CET4,
finger,n.手指；指状物,CET4,
finish,vt.完成，结束 n.结束,CET4,
fire,n.火；火灾 vi.开火,CET4,
fireman,消防队员； 司炉工,CET4,
firm,n.商行，商号，公司,CET4,
first,num.第一 ad.最初,CET4,
fish,n.鱼，鱼肉 vi.钓鱼,CET4,
fisherman,渔民， 渔夫,CET4,
fist,n.拳(头),CET4,
fit,vt.适合；安装 vi.适合,CET4,
five,num.五，五个，第五,CET4,
fix,vt.使固定；决定,CET4,
flag,n.旗，旗帜；旗舰旗,CET4,
flame,火焰， 光辉； 热情,CET4,
flash,闪， 闪烁； 飞驰；闪光；闪光灯,CET4,
flat,平直地； 直截了当地；平的；固定的；漏气的；平淡的；沉闷的；浅的；一套房间，单元住宅,CET4,
flavour,n.味，味道；风味,CET4,
flee,逃走， 逃掉， 逃离； 避开， 逃避,CET4,
fleet,舰队， 船队,CET4,
flesh,肉， 肌肉， 肉体,CET4,
flexibility,灵活性， 机动性， 柔韧性,CET4,
flexible,易弯曲的， 灵活的,CET4,
flight,n.航班；飞行；逃跑,CET4,
float,浮动， 漂浮； 飘动,CET4,
flock,羊群， 群； 大量,CET4,
flood,淹没； 涌入；洪水；大量,CET4,
floor,n.地板；楼层,CET4,
flour,面粉； 粉， 粉状物质,CET4,
flourish,繁荣，茂盛，兴旺；挥动,CET4,
flow,vi.流动；飘垂；涨潮,CET4,
flower,n.花，花卉；开花,CET4,
flu,n.流行性感冒,CET4,
fluent,流利的， 流畅的,CET4,
fluid,流动的；流体，液体,CET4,
fly,n.蝇，苍蝇 vi.飞行,CET4,
focus,聚焦；集中；焦点； 中心,CET4,
fog,雾， 烟雾， 尘雾,CET4,
fold,折叠，合拢；褶， 折叠的部分,CET4,
folk,人们； 家属， 亲属； 大伙儿， 各位,CET4,
follow,vt.跟随；结果是,CET4,
following,接着的，下列的；一批追随者,CET4,
fond,a.喜爱的；溺爱的,CET4,
food,n.食物，食品，养料,CET4,
fool,n.蠢人，傻子 vt.欺骗,CET4,
foolish,a.愚蠢的；鲁莽的,CET4,
foot,n.脚；最下部；英尺,CET4,
football,n.足球比赛；足球,CET4,
footstep,脚步， 脚步声， 足迹,CET4,
for,prep.为；给；因为,CET4,
forbid,禁止， 不许， 阻止,CET4,
force,强迫；用力推动，用力打开；军队， 兵力； 暴力， 武力； 力， 力气； 影响力， 效力,CET4,
forecast,预测， 预报；预测，预报,CET4,
forehead,额头； 前部,CET4,
foreign,a.外国的；外来的,CET4,
foreigner,n.外国人,CET4,
forest,n.森林；森林地带,CET4,
forever,ad.永远，总是，老是,CET4,
forge,打制， 锻造； 伪造,CET4,
forget,vt.忘记，遗忘,CET4,
forgive,vt.原谅，饶恕，宽恕,CET4,
fork,n.餐叉；叉；分叉,CET4,
form,n.形式；形状 vt.形成,CET4,
formal,正式的， 礼仪上的,CET4,
format,设计，安排；格式，样式，版式；使格式化,CET4,
formation,形成， 构成， 形成物； 队形， 排列,CET4,
former,在前的；前者,CET4,
formula,公式， 方程式； 原则， 方案； 配方,CET4,
forth,向前； 向外， 往外,CET4,
fortnight,两星期， 十四天,CET4,
fortunate,a.幸运的，侥幸的,CET4,
fortunately,幸运地； 幸亏,CET4,
fortune,n.命运，运气；财产,CET4,
forty,num.四十，第四十,CET4,
forward,ad.向前；今后，往后,CET4,
found,vt.创立，创办；建立,CET4,
foundation,基础；,CET4,
fountain,泉水； 喷泉； 源泉,CET4,
four,num.四，四个，第四,CET4,
fourfold,四倍， 四重；四倍的，四重的,CET4,
fourteen,num.十四，第十四,CET4,
fourth,num.第四，四分之一,CET4,
fox,n.狐狸；狡猾的人,CET4,
fraction,小部分； 片断； 分数,CET4,
fragment,成碎片；碎片，破片，碎块,CET4,
frame,框架，框子，构架；给…镶框； 陷害， 诬告； 制定； 表达,CET4,
framework,框架， 结构； 准则； 体系,CET4,
france,n.法国，法兰西,CET4,
frank,坦白的， 直率的,CET4,
free,a.自由的；空闲的,CET4,
freedom,n.自由；自主,CET4,
freely,ad.自由地；直率地,CET4,
freeze,vi.冻；结冻 vt.使结冰,CET4,
freight,货运；货物；运费；运送,CET4,
french,a.法国的 n.法国人,CET4,
frequency,屡次； 次数， 频率,CET4,
frequent,时常发生的，常见的；常到， 常去,CET4,
frequently,ad.时常，常常,CET4,
fresh,a.新的；新鲜的,CET4,
friday,n.星期五,CET4,
fridge,n.电冰箱,CET4,
friend,n.朋友，友人,CET4,
friendly,a.友好的，友谊的,CET4,
friendship,n.友谊，友好,CET4,
frighten,vt.使惊恐，吓唬,CET4,
frog,蛙,CET4,
from,prep.从…来；离开,CET4,
front,a.前面的 n.前部,CET4,
frontier,边境， 边疆； 新领域,CET4,
frost,结霜；冰冻，严寒；霜,CET4,
